Season,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB
2007,43425.2,91.1,86.4,83.9,90.3,82,83.5,77,73.1,68.8,78.6
2008,43357.2,91.8,86.6,84,90.6,82.2,83.3,76.7,71.9,68.9,67.8
2009,43272,92.2,87.1,83.9,91,82.6,83.5,77,73.8,69.3,67.1
2010,43305.1,92.3,87.5,84.7,91,82.6,83.7,77.1,73.5,72,66.4
2011,43527.1,92.6,87.9,84.6,91.3,83.1,84,77.6,73.6,71.8,69.5
2012,43355.1,92.7,88,84.6,91.5,83.4,83.9,77.8,71.2,77.9,77.8
2013,43653.1,92.9,88.4,84.4,91.8,83.6,84,78.1,72.5,76.2,79.4
2014,43613.2,93.1,88.7,84.7,91.9,84,84.4,78.3,72.1,76.2,87.1
2015,43407.2,93.3,88.5,84.7,92.1,84.1,84.6,78.7,71,75.9,85.7
2016,43306.1,93.4,88.8,84.7,92.3,84.2,84.7,78.5,72.5,75.1,
2017,43257,93.5,88.9,84.6,92.3,84.4,84.7,78.8,71.8,77,
2018,43489,93.2,88.7,84.8,92.3,84.3,84.4,78.9,68.8,75.7,76
2019,43423.1,93.5,88.6,85,92.5,84.6,84.6,79,68.8,74.2,80.1
2020,15468.2,93.5,88.2,85.2,92.7,84.6,84.3,79.3,71.7,59.6,
2021,42615,93.8,88.5,85.9,93.1,84.9,84.7,79.3,72.6,73.7,77.4
2022,43075.1,93.9,89.1,86.7,93.4,85.3,84.5,79.4,75.9,55.8,
